item_sku,item_name,category,default_supplier,supplier_alternative,order_quantity,measure_unit,default_quantity
coca,coca,🥤Sodas,coca company,,1,Box,
coca-zero,coca-zero,🥤Sodas,coca company,,1,box,
soda,soda,🥤Sodas,coca company,,1,box,
sprite,sprite,🥤Sodas,coca company,,1,box,
fanta,fanta,🥤Sodas,coca company,,1,box,
tonic,tonic,🥤Sodas,coca company,,1,box,
aquarius,aquarius,🥤Sodas,coca company,,1,box,
ginger-ale,ginger-ale,🥤Sodas,coca company,,1,box,
pepsi,pepsi,🥤Sodas,drink shop,,1,box,
puro-big,puro-big,💧Water,angkor company,,1,box,
puro-small,puro-small,💧Water,angkor company,,1,box,
blue-sea-big,blue-sea-big,💧Water,stock,,1,box,
blue-sea-small,blue-sea-small,💧Water,stock,,1,box,
mango-juice,mango-juice,🧃Fruit juices,lees,,1,L,
orange-juice,orange-juice,🧃Fruit juices,lees,,1,L,
cranberry-juice,cranberry-juice,🧃Fruit juices,lees,,1,L,
apple-juice,apple-juice,🧃Fruit juices,lees,,1,L,
caramel,caramel,🧋Syrup,kofi,,1,bt,
vanilla,vanilla,🧋Syrup,kofi,,1,bt,
grenadine,grenadine,🧋Syrup,kofi,,1,bt,
strawberry,strawberry,🧋Syrup,kofi,,1,bt,
lemon,lemon,🧋Syrup,kofi,,1,bt,
mint,mint,🧋Syrup,kofi,,1,bt,
coffee-oro,coffee-oro,☕Coffee,kofi,,1,bt,
fresh-milk,fresh-milk,🥛Milk,baker supplies,,1,box,
sweet-milk,sweet-milk,🥛Milk,pisey,,4,can,
almond-milk,almond-milk,🥛Milk,7 eleven,,1,L,
black-tea,black-tea,🫖Tea,chinese mart,,1,pk,
green-tea,green-tea,🫖Tea,chinese mart,,1,pk,
jasmine-tea,jasmine-tea,🫖Tea,chinese mart,,1,pk,
draft-keg,draft-keg,🍺Beers,angkor company,,3,kegs,
angkor,angkor,🍺Beers,angkor company,,1,box,
cambodia,cambodia,🍺Beers,drink shop,,1,box,
ganzberg,ganzberg,🍺Beers,drink shop,,1,box,
somersby-cider,somersby-cider,🍺Beers,pp distributor,,1,box,
ipa,ipa,🍺Beers,pp distributor,,1,box,
blanc-1664,blanc-1664,🍺Beers,pp distributor,,1,box,
corona,corona,🍺Beers,pp distributor,,1,box,
red-wine,red-wine,🍷Wines,foody,,2,bt,
white-wine,white-wine,🍷Wines,foody,,2,bt,
jinro,jinro,🍷Wines,foody,,1,1 each,
winston,winston,🚬Cigs,drink shop,,1,box,
esse,esse,🚬Cigs,drink shop,,1,box,
mevius,mevius,🚬Cigs,drink shop,,1,box,
jack,jack,🥃Spirits,samu,,1,bt,
jagermeister,jagermeister,🥃Spirits,samu,,1,bt,
tequila,tequila,🥃Spirits,samu,,1,bt,
absolut,absolut,🥃Spirits,samu,,1,bt,
bacardi,bacardi,🥃Spirits,samu,,1,bt,
bailey,bailey,🥃Spirits,samu,,1,bt,
beefeater,beefeater,🥃Spirits,samu,,1,bt,
campari,campari,🥃Spirits,samu,,1,bt,
captain-morgan,captain-morgan,🥃Spirits,samu,,1,bt,
cointreau,cointreau,🥃Spirits,samu,,1,bt,
jameson,jameson,🥃Spirits,samu,,1,bt,
jim-beam,jim-beam,🥃Spirits,samu,,1,bt,
malibu,malibu,🥃Spirits,samu,,1,bt,
bardinet,bardinet,🥃Spirits,samu,,1,bt,
blue-curacao,blue-curacao,🥃Spirits,samu,,1,bt,
