category_id,category_name,parent_category,sub-category
20000,🧼Cleaning for kitchen,kitchen,cleaning
20100,📦Box,kitchen,plastics
20200,🛍️Ustensil,kitchen,plastics
20300,🛍️Plastic bag,kitchen,plastics
20400,🎁kitchen roll,kitchen,plastics
20500,🧀Cheese,kitchen,dairy
20600,🥣Cream,kitchen,dairy
20700,🥚Eggs,kitchen,dairy
20800,🧈Butter,kitchen,dairy
20900,🍟French fries,kitchen,dairy
21000,🐷Pork,kitchen,meat
21100,🐮 Beef,kitchen,meat
21200,🐔 Chicken,kitchen,meat
21300,🐟Fish,kitchen,fish/seafood
21400,🦞Seafood,kitchen,fish/seafood
21500,🥒Picked,kitchen,condiments
21600,🍚Rice,kitchen,dry
21700,🍜Noodle,kitchen,dry
21800,🍝Pastas,kitchen,dry
21900,🍞Baking,kitchen,dry
22000,🥫Can,kitchen,dry
22100,🌿Herbs (dried),kitchen,spices
22200,🧂Seasoning,kitchen,spices
22300,🫙Sauce,kitchen,sauces
22400,🥦Veg,kitchen,veggies
22500,🌿Herbs (fresh),kitchen,veggies
30000,🥤Sodas,bar,soft
30100,💧Water,bar,soft
30200,🧃Fruit juices,bar,soft
30300,🧋Syrup,bar,coffee/tea/syrup
30400,☕Coffee,bar,coffee/tea/syrup
30500,🥛Milk,bar,soft
30600,🫖Tea,bar,coffee/tea/syrup
30700,🍺Beers,bar,alcohol
30800,🍷Wines,bar,alcohol
30900,🚬Cigs,bar,cigs
31000,🥃Spirits,bar,alcohol
31100,🍑Fruits,bar,fruits
31200,🍨Desserts,bar,ingredients
31300,🛍️Plastic bag,bar,households
31400,🛍️Cup,bar,households
31500,🛍️Ustensils,bar,households
31600,🖨️Office,bar,households
31700,🧼Cleaning,bar,households
