item_sku,item_name,category,default_supplier,supplier_alternative,order_quantity,measure_unit,default_quantity
dishsoap,dishsoap,🧼Cleaning for kitchen,pisey,,1,big,
sponges,sponges,🧼Cleaning for kitchen,pisey,,1,pk,10
clothes,clothes,🧼Cleaning for kitchen,hong kong shop,,3,pk,
pasta,pasta,📦Box,pisey,,2,pk,
pizza,pizza,📦Box,pp distributor,,1,pk,
bread,bread,📦Box,Takaway shop,,2,pk,
soup,soup,📦Box,pisey,,2,pk,
cake,cake,📦Box,Takaway shop,,4,pk,
sauce,sauce,📦Box,pisey,,2,pk,
sushi,sushi,📦Box,pp distributor,,4,pk,
burger,burger,📦Box,pisey,,1,big,
plastic-fork,plastic-fork,🛍️Ustensil,Takaway shop,,10,pk,
chopstick,chopstick,🛍️Ustensil,pisey,,5,pk,
plastic-12x20,plastic-12x20,🛍️Plastic bag,pisey,,2,pk,
plastic-8x16,plastic-8x16,🛍️Plastic bag,pisey,,2,pk,
wrapping-film,wrapping-film,🎁kitchen roll,pizza+,,1,roll,
baking-paper,baking-paper,🎁kitchen roll,pizza+,,1,roll,
aluminium,aluminium,🎁kitchen roll,pizza+,,1,roll,
mozzarella,mozzarella,🧀Cheese,lees,,1,block,
cheddar-slice,cheddar-slice,🧀Cheese,baker supplies,,1,pk,
cream-cheese,cream-cheese,🧀Cheese,baker supplies,,1,kg,
cottage-cheese,cottage-cheese,🧀Cheese,granny,,10,pc,
parmesan,parmesan,🧀Cheese,lees,,1,kg,
cooking-cream,cooking-cream,🥣Cream,lees,,1,L,
sour-cream,sour-cream,🥣Cream,lees,,1,L,
eggs,eggs,🥚Eggs,pisey,,1,x30,
butter,butter,🧈Butter,lees,,2,kg,
french-fries,french-fries,🍟French fries,lees,,1,box,
ham,ham,🐷Pork,samu,,2,500g,
bacon,bacon,🐷Pork,samu,,1,kg,
pepperoni,pepperoni,🐷Pork,samu,,2,500g,
pork-sausage-bbq,pork-sausage-bbq,🐷Pork,rodina,,1,pk,
pork-shoulder-bbq,pork-shoulder-bbq,🐷Pork,market,,1,kg,
beef-(burger),beef-(burger),🐮 Beef,lees,,6,kg,
beef-(steak),beef-(steak),🐮 Beef,lees,,10,pc,
chicken-breast,chicken-breast,🐔 Chicken,market,,6,kg,
chicken-wing,chicken-wing,🐔 Chicken,market,,2,kg,
chicken-sausage-bbq,chicken-sausage-bbq,🐔 Chicken,market,,1,pk,
smoked-chicken-sausage,smoked-chicken-sausage,🐔 Chicken,rodina,,1,pc,
smoked-duck-breast,smoked-duck-breast,🐔 Chicken,lees,,10,pc,
white-fish,white-fish,🐟Fish,market,,3,kg,
red-fish,red-fish,🐟Fish,market,,3/2,pc/kg,
